ano,UF,nome_programa,titulo,resumo,autor
2002,PE,SOCIOLOGIA,Habitus e Reflexidade do Trabalhador Brasileiro a partir da Satisfação Profissional Expressa por aqueles que atuam no Recife - PE,"Trata-se de um estudo sobre os condicionantes do grau de Satisfação Profissional, manifestado por trabalhadores assalariados, autônomos, profissionais liberais e pequenos empresários que atuam na cidade de Recife, situada na região nordeste do Brasil. Os conceitos teóricos centrais deste estudo - Habitus e Campo em Bourdieu, Reflexividade, Agencia e Estrutura em Giddens - junto ao conceito de Aspiração orientaram as entrevistas exploratórias e de aprofundamento e o questionário realizado junto a 265 trabalhadores. O estudo se faz a partir de um foco tridimensional: o agente, suas relações e o mundo do trabalho. Apesar do grande descontentamento diante dos salários e políticas públicas, manifestado pelos trabalhadores, um grande contingente deles apresenta altos índices de satisfação profissional. Através das entrevistas realizadas e do teste estatístico da regressão múltipla sobre Satisfação Profissional, verificou-se que tal satisfação deve-se, prioritariamente, a auto-imagem do trabalhador e ao sentimento de empowerment por ele expresso - variáveis, aqui consideradas como componentes da Reflexividade. Essas duas variáveis foram submetidas ao mesmo procedimento estatístico, que confirmou, entre seus condicionantes, o habitus profissional, junto a outras dimensões do próprio Habitus, da Reflexividade e da Aspiração. A ausência do habitus escolar, entre os fatores explicativos da satisfação profissional e da auto-imagem e sentimento de empowerment - do trabalhador - foi, especialmente atribuída a ausência de políticas públicas que valorizem as instituições educacionais e seus profissionais. Ante os atuais desafios encontrados pelo trabalhador, percebeu-se, quantitativa e qualitativamente, um vigor diferenciado em sua postura; as aspirações adiadas ou ressignificadas e o sentido conferido à profissão, marcado por novos padrões de percepção do trabalho, Ihe garantem um novo perfil, em que a relevância social de sua profissão esta, positivamente, associada ao grau de satisfação mais elevado",MARIA DA ASSUNÇÃO  CALDERANO
2002,SC,SOCIOLOGIA POLÍTICA,Análise da Evolução dos Gastos Públicos Municipais  em Santa Catarina na Década de 90: Um perfil das Preferencias Alocativas nas  Funções de Governo,"Com o advento da restauração de franquias democráticas no Brasil, em meados dos anos oitenta, que pôs fim a mais de vinte anos de regime militar, ampliaram-se os espaços para debates em torno do papel do Estado, suas competências, seu financiamento, e seus gastos. A confecção dos orçamentos públicos tornou-se mais transparente, devido, principalmente, a um maior controle por parte do legislativo e dos tribunais de contas. Nesse período, a noção de cidadania avançou, e a destinação dos gastos públicos passou a fazer parte da agenda das pessoas, seja individualmente ou em organizações de caráter popular, tais como sindicatos, associações de classes e partidos políticos. Com isso, os estudos sobre orçamentos, receitas e despesas de governo tiveram um expressivo aumento em instituições, as de ensino superior, entre outras, o que provocou uma maior cobertura e divulgação pela mídia e conseqüentemente mais informações à população sobre a destinação e aplicação dos recursos públicos. A partir de 1988, a Nova Constituição, reafirma Estados, Distrito Federal e Municípios, como partes integrantes e ativas da Federação (artigo 18[1]), e define a autonomia política, administrativa e financeira, das unidades sub-nacionais. Esta autonomia começa a ganhar força e notoriedade a partir de algumas experiências inovadoras no campo da participação popular na gestão pública em algumas administrações municipais. Tal dispositivo associa-se ao processo de descentralização, vinculando a autonomia das unidades sub-nacionais entre si, “conferindo aos estados e municípios ampla autonomia para legislar e arrecadar tributos próprios e para orçar, gerir, despender e fiscalizar seus recursos, além de reformatar tributos e descentralizar receitas”. (PNUD, 1996, p.57). Embora, esta autonomia, seja questionada, já que, na maioria dos casos municípios, Distrito Federal e estados estão na dependência financeira, quase total, da União. Dados publicados no Editorial do Caderno do CEAS (1997, p.3) “revelam que a média das receitas diretamente arrecadadas pelas prefeituras no Brasil alcança apenas 15% dos recursos disponíveis, os 85% restantes são oriundos de contribuições obrigatórias e voluntárias dos governos estaduais e federal”. O exemplo da Saúde é notório: a responsabilidade alocativa sobre o gasto federal com saúde recuou de 74,8% para 52,5% entre 1980 e 1990, no entanto, a União continuou sendo responsável por 75% do financiamento setorial ao longo do período, o que mostra a forte dependência desse setor do gasto federal. (ABONG, 1995:13). Estes dados mostram claramente que ainda há uma excessiva centralização de recursos em nível federal e desta forma a união consegue ainda manter o poder político e decisório das políticas públicas sob sua tutela. O processo de federalismo e a descentralização, desencadeada no inicio da década de 90, abriram caminho para algumas experiências inovadoras, principalmente com a chegada ao poder de partidos progressistas, como foi o caso do Partido dos Trabalhadores (PT) em Porto Alegre, no final dos anos 80. Desta maneira, entender as preferências alocativas dos governos sub-nacionais, principalmente, em áreas sociais é peça fundamental para a compreensão da situação social do Brasil. Assim conseguimos comprovar, com dados oficiais e concretos, a evolução dos gastos públicos municipais em Santa Catarina na década de 90 e as funções preferidas para investimentos dos partidos políticos quando estão no poder. Os dados nos mostram que os maiores gastos ainda estão em “atividades meios”, ou seja, nas funções de Administração e Planejamento e na Legislativa. A área de Educação e Cultura, também está entre as mais privilegiadas, mas, em principio, isto se deve à legislação Federal, que fixa em 25% o valor mínimo a ser investido nesta função, (Lei Calmon)...--------------------------------------------------------------------------------..[1]O artigo 18 da Constituição Federal de 1988 diz que: “A organização político-adminitrativa da República Federativa do Brasil compreende a União, os Estados, o Distrito Federal e os Municípios, todos autônomos, nos termos desta Constituição”.",Gilmar Rodrigues
2002,SC,SOCIOLOGIA POLÍTICA,A AVALIAÇÃO DO SISTEMA DE ENSINO SUPERIOR BRASILEIRO - A DISPUTA ENTRE DISCURSOS E DADOS,"Considerando as possibilidades de pesquisas que podem e são desenvolvidas sobre o ensino superior brasileiro e vasta gama de informações criadas nos últimos anos, principalmente através dos processos avaliativos implantados pelo Ministério da Educação – MEC, após a Lei de Diretrizes e Bases – LDB/96, buscamos nesse trabalho analisar e avaliar os principais discursos sobre o processo avaliativo, bem como os resultados obtidos a partir dos dados publicizados pelo Ministério desde a implementação dos mecanismos avaliativos (de 1997 a 2000).....Assim como não podia deixar de faltar, nossa pesquisa aborda as questões centrais das políticas de ensino superior brasileiras dos últimos anos, visando sempre uma reflexão sobre seus pontos mais importantes, buscando na imensa literatura os autores que produzem os trabalhos mais significativos quanto ao tema. Ampliando as possibilidades de discussões e apontando para os critérios avaliados, essa pesquisa, despretensiosamente, busca trazer para o debate novos subsídios e ponderações quanto a pertinência das avaliações feitas pelo MEC, bem como a manipulação dos resultados obtidos.....Juntamente com uma apropriação dos discursos dos principais atores envolvidos, fizemos a análise dos dados publicados, partindo dos indicadores mais expressivos que possibilitariam estabelecer alguma relação com os discursos. Fazendo a correlação de alguns indicadores e buscando deles extrair percentuais para uma maior aproximação da realidade, compreendendo sua pertinência e identificando as relações possíveis, chegamos ao fim de nossa pesquisa com a angústia de perceber o quanto os discursos utilizados pelo Ministério, ou melhor, pelos seus representantes, não se correspondem, havendo entre eles estão desconexos e fora da realidade social brasileira.",MÍRIAN ELIZABETH HAHMEYER COLLARES
2002,DF,SOCIOLOGIA,O PIBIC e a difusão da carreira científica na Universidade Brasília,"O objeto de análise da presente dissertação é o Programa Institucional de Bolsas de Iniciação Científica - PIBIC, promovido pelo Conselho Nacional de Desenvolvimento Científico e Tecnológico - CNPq. O Programa, há mais de dez anos, concede bolsas de estudos a alunos de graduação, proporcionando-lhes a oportunidade de participar de projetos de pesquisa científica, sob a orientação de um professor pesquisador. Nessa década de existência, o Programa apresenta considerável expansão e atualmente chega a oferecer cerca de quatorze mil bolsas por ano. Esta dissertação tem por objetivo analisar a função precípua do PIBIC na formação de estudantes de graduação para o ingresso no campo científico. Analisa-se, ainda, a interação do Programa com o sistema de ensino superior brasileiro e a forma como influencia a socialização dos estudantes que dele participam. Ademais, procura-se esclarecer em que medida o Programa contribui para consolidar a carreira acadêmico-científica no País.",Adalberto Grassi Gonçalves
2003,SP,SOCIOLOGIA,Mas afinal que elite é essa? Elitização/deselitização no Vestibular VUNESP,"Esta pesquisa tem como um de seus objetivos principais discutir o conceito de elite no contexto da universidade pública, a partir do vestibular VUNESP, observando e refletindo sobre a suposta elite que compõe a população universitária brasileira. A partir de dados relativos ao capital cultural, do questionário sócio-econômico da VUNESP, procurei estabelecer relações sistêmicas que ajudassem a esclarecer os diferentes aspectos da questão proposta, na tentativa de compreender os processos de elitização/deselitização em um caso específico - alguns cursos da Universidade Estadual Paulista-UNESP. Elaborei uma proposta de pesquisa que aproveita resultados de trabalhos anteriores, procurando enfocar um aspecto original, pois centra a análise em quatro campi da UNESP - eqüidistantes ao mesmo tempo do litoral e da divisa oeste do Estado de São Paulo, e trabalho com a hipótese de que os cursos aí localizados oferecem interessante amostragem da juventude universitária no que se refere a classe social e grau de urbanização - dois importantes aspectos referentes ao acesso à universidade e à heterogeneidade dos cursos.",Elis Cristina Fiamenge
2003,RJ,SOCIOLOGIA E ANTROPOLOGIA,"Por que hoje no Brasil mais mulheres buscam o ensino superior? Trajetórias educacionais, família e casamento em questão.","Esta tese analisa dois grupos de mulheres que cursam o ensino superior em instituições pública e particular do Rio de Janeiro, procurando entender qual o significado do diploma para estas mulheres e como este fato está relacionado com as temáticas da educação, família e casamento na  sociedade brasileira contemporânea...A análise das trajetórias educacionais e o relato das histórias de vida, brm como a aplicação de um questionário sócio-cultural em 140 alunas universitárias, sendo 70 de uma faculdade particular da zona oeste do Rio de Janeiro(FIA) e 70 de uma Universidade Pública (UP) da região central do Rio de Janeiro, consistiram nas estratégias adotadas para responder o questionamento de por que tantas mulheres hoje buscam concluir uma graduação...Esta pesquisa revela que na sociedade brasileira contemporânea, as mulheres estão cadavez mais buscando na conclusão do ensino superior a oportunidade de mudarem seus projetos de vida, família e casamento. Elas querem liberdade de pensamento e ação. Desejam ser percebidas como indivíduo capazes de fazer escolhas e tomar decisões.",ANA LUCIA GUIMARAES
2003,GO,SOCIOLOGIA,"ESCOLA SEM LIMITES: VIOLÊNCIA, INDISCIPLINA E AUTORIDADE DOCENTE",Reconhecendo que a violência,José Maria e Silva
2003,GO,SOCIOLOGIA,POLÍTICA SOCIAL E PRÁTICA SINDICAL NO CAMPO DA EDUCAÇÃO: FNDEP E SINTEGO,"Este trabalho procura compreender a atuação do Fórum Nacional em Defesa da Escola Pública e a prática sindical dos professores da rede pública estadual de Goiás, por meio de sua entidade representativa, o Sintego, durante a década de 90. Ambos os movimentos têm como princípio a qualidade da educação para a cidadania; as mobilizações realizadas no período adotam a defesa da escola pública unitária e para todos como principal objetivo. Tanto a prática sindical do Sintego como a atuação do Fórum ocorrem no contexto de uma sociedade extremamente autoritária, desigual e excludente, que se acirra pela consolidação no Brasil de elementos pós-modernos, como a reestruturação produtiva e o neoliberalismo, agravando ainda mais as contradições existentes no país. O referencial adotado para este estudo foi a teoria crítica da Escola de Frankfurt, pois entende-se que este referencial oferece categorias de análise privilegiadas para a compreensão da sociedade contemporãnea.",Rubens de Freitas Benevides
2003,SP,SOCIOLOGIA,RACISMOS E ANTI-RACISMOS NA PERSPECTIVA DE ESTUDANTES UNIVERSITÁRIOS DE SÃO PAULO,"Esse trabalho analisa os discursos sobre ""raça"", racismo e anti-racismo no Brasil.  Com base em uma pesquisa empírica realizada entre estudantes de uma universidade pública de São Paulo, examina as definições do racismo que tem sido popularizadas na sociedade, e o modo como a sua presença é percebida no cotidiano e nas trajetórias individuais.  Além disso, tratadas explanações para a desigualdade racializada e, especificamente, para exclusão dos ""negros"" de espaços socialmente valorizados, como as universidades públicas brasileiras, examinando o impacto destas sobre as preferências individuais em termos de políticas anti-racistas.  O trabalho discute, ainda, as inter´retações divergentes para as posições em relação às políticas anti-racistas e, especificamente, à ação afirmativa presentes no debate público norte-americano e brasileiro em torno do assunto.",Paula Cristina da Silva Barreto
2003,PR,SOCIOLOGIA,TRABALHO INFANTIL: uma análise das tentativas de sua erradicação no Brasil,"O trabalho infantil é abordado nesta pesquisa, sob o prisma..sociológico de sua constituição como problema social. A partir de sua..contextualização, analisa-se o discurso da erradicação do trabalho infantil..e as iniciativas voltadas a esse fim, bem como a legislação brasileira que..respalda as ações dos projetos e programas que intervêm na realidade social,..no que tange à infância e adolescência no Brasil.",Ester Cardoso Candelori
2003,DF,SOCIOLOGIA,"De Casa à Escola: caminho fecundo para o enfrentamento da violência doméstica contra a criança""","Esta dissertação desvela a possibilidade do espaço escolar ser local de prevenção à violência doméstica contra a criança e de acompanhamento e encaminhamento daquelas crianças identificadas, por profissionais da educação, vítimas desta expressão de violência interpessoal.....Foi possível vislumbrar tal possibilidade investigando o caminho percorrido, por profissionais da educação desde a identificação de casos de violência doméstica contra a criança até os fatores responsáveis por impulsioná-los a enfrentá-los ou impedi-los de enfrentá-los. Além desses profissionais foram ouvidos profissionais do serviço social, da justiça, da segurança pública e conselheiros tutelares.....Para tanto, foram traçados os seguintes objetivos: levantar e analisar as representações sociais de professores, orientadores educacionais e direções escolares a respeito do que é violência doméstica contra a criança; levantar e analisar as ações de professores, orientadores educacionais e direções escolares ao identificarem crianças que sofrem violência doméstica; propor tanto ações voltadas para as políticas públicas educacionais que envolvam os profissionais da educação, visando ao seu engajamento na questão do enfrentamento da violência doméstica, quanto ações governamentais voltadas para a estruturação da rede de atendimento à criança violentada no Distrito Federal.....Nesta dissertação, coloca-se, então, como primeiro resultado relevante o reconhecimento do espaço escolar como espaço fecundo tanto para a identificação quanto para o enfrentamento da violência doméstica contra crianças. O segundo resultado relevante é a superação do entendimento da denúncia como única possibilidade de enfrentamento, por parte dos profissionais da educação, da violência doméstica contra a criança, uma vez que, as atividades escolares permitem o diálogo com a comunidade escolar, bem como, a reflexão acerca do fenômeno social em questão.",Adriana Costa de Miranda
