ID,country_year,country,year,survey,survey2,Random_sampling,sampling_nom,elite_type,elite_type2,elite_type3,population_similarity_elite_type,female,sex,age,age_groups,self_education,question_simil_self_education,response_category_self_education,ideology_left_right,ideology_left_right_quintiles,question_simil_ideology_left_right,response_category_ideology_left_right,voters_are_ignorant,question_simil_voters_are_ignorant,response_category_voters_are_ignorant,Gov_should_ensure,question_simil_Gov_should_ensure,response_category_Gov_should_ensure,redistrib_min_income,question_simil_redistrib_min_income,response_category_redistrib_min_income,redistrib_free_education,question_simil_redistrib_free_education,response_category_redistrib_free_education,redistrib_higher_education,question_simil_redistrib_higher_education,response_category_redistrib_higher_education,redistrib_free_health,question_simil_redistrib_free_health,response_category_redistrib_free_health,redistrib_quotas_education,question_simil_redistrib_quotas_education,response_category_redistrib_quotas_education,redistrib_agrarian_reform,question_simil_redistrib_agrarian_reform,response_category_redistrib_agrarian_reform,redistrib_unemployment_ens,question_simil_redistrib_unemployment_ens,response_category_redistrib_unemployment_ens,redistrib_job_stability,question_simil_redistrib_redistrib_job_stability,response_category_redistrib_job_stability,redistrib_quotas_hiring,question_simil_redistrib_quotas_hiring,response_category_redistrib_quotas_hiring,redistrib_tax_capital,question_simil_redistrib_tax_capital,response_category_redistrib_tax_capital,redistrib_tax_income,question_simil_redistrib_tax_income,response_category_redistrib_tax_income,redistrib_progressive_tax,question_simil_redistrib_progressive_tax,response_category_redistrib_progressive_tax,redistrib_participation_profits,question_simil_redistrib_participation_profits,response_category_redistrib_participation_profits,neolib_privatize,question_simil_neolib_privatize,response_category_neolib_privatize,neolib_reduce_benefits,question_simil_neolib_reduce_benefits,response_category_neolib_reduce_benefits,neolib_reduce_regulation,question_simil_neolib_reduce_regulation,response_category_neolib_reduce_regulation,neolib_open_economy,question_simil_open_economy,response_category_open_economy,redistrib_mixed,redistrib_mixed_similarity_to_index,redistrib_mixed_original_scale,general_trust,trust_businesses,trust_gov,trust_parties,trust_courts,feasable_to_keep_current_welfare,Accepts_inequality_increase
15,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,59,40 to 59,0.67,1,6 point scale,0.5,0.5,1,10 point scale,,,,,,,,,,0.5,4,4 point scale,0.5,4,4 point scale,0.5,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,54,40 to 59,0.67,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,35,18 to 39 ,0.83,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,48,40 to 59,0.83,1,6 point scale,0.1,0,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,58,40 to 59,0.5,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.5,4,4 point scale,0.75,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,54,40 to 59,0.33,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.25,4,4 point scale,0.75,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,42,40 to 59,0.67,1,6 point scale,0.2,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.25,4,4 point scale,,,,,,,0.25,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,30,18 to 39 ,0.67,1,6 point scale,0.5,0.5,1,10 point scale,,,,,,,,,,0.5,4,4 point scale,0.25,4,4 point scale,0.5,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,35,18 to 39 ,0.67,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.5,4,4 point scale,0.5,4,4 point scale,0.25,4,4 point scale,,,,,,,0.25,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,45,40 to 59,0.67,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.5,4,4 point scale,0.75,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,48,40 to 59,0.5,1,6 point scale,0.2,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,46,40 to 59,0.67,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.5,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,36,18 to 39 ,0.67,1,6 point scale,0.5,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.5,4,4 point scale,0.75,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,71,60 plus,0.17,1,6 point scale,0.2,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.5,4,4 point scale,0.75,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,41,40 to 59,0.67,1,6 point scale,0.5,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,52,40 to 59,0.5,1,6 point scale,0.2,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.5,4,4 point scale,0.75,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,85,60 plus,0.67,1,6 point scale,0.9,1,1,10 point scale,,,,,,,,,,0.5,4,4 point scale,0.25,4,4 point scale,0.25,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,57,40 to 59,0.67,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.5,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,41,40 to 59,0.67,1,6 point scale,0.2,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.25,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,41,40 to 59,0.67,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,57,40 to 59,0.83,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,39,18 to 39 ,0.67,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.5,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,53,40 to 59,0.5,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,65,60 plus,0.67,1,6 point scale,0,0,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,56,40 to 59,0.5,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.5,4,4 point scale,0,4,4 point scale,0.5,4,4 point scale,,,,,,,0.25,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,58,40 to 59,0.5,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0,4,4 point scale,0.5,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,47,40 to 59,0.67,1,6 point scale,0.5,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.25,4,4 point scale,0.75,4,4 point scale,,,,,,,0.25,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,54,40 to 59,0.67,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.5,4,4 point scale,0.75,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,53,40 to 59,0.67,1,6 point scale,0.6,0.75,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0,4,4 point scale,0.5,4,4 point scale,,,,,,,0.25,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,,NA,45,40 to 59,0.83,1,6 point scale,0.5,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.25,4,4 point scale,0.75,4,4 point scale,,,,,,,0,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,48,40 to 59,0.83,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.5,4,4 point scale,0.25,4,4 point scale,0.5,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,66,60 plus,0.83,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0,4,4 point scale,0.5,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,65,60 plus,0.33,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,42,40 to 59,0.67,1,6 point scale,0.6,0.75,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,59,40 to 59,0.33,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,59,40 to 59,0.67,1,6 point scale,0.7,0.75,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.5,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,50,40 to 59,0.67,1,6 point scale,0.6,0.75,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,44,40 to 59,0.67,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,48,40 to 59,0.67,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,56,40 to 59,0.83,1,6 point scale,0.2,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,73,60 plus,0.83,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.5,4,4 point scale,0.25,4,4 point scale,0.25,4,4 point scale,,,,,,,0.25,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,59,40 to 59,0.83,1,6 point scale,0.1,0,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.5,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,41,40 to 59,0.33,1,6 point scale,0.1,0,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,38,18 to 39 ,0.67,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.5,4,4 point scale,,,,,,,0.25,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,36,18 to 39 ,0.33,1,6 point scale,0.3,0.25,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,71,60 plus,0.5,1,6 point scale,0.4,0.5,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,69,60 plus,0.67,1,6 point scale,0.6,0.75,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0,4,4 point scale,0.75,4,4 point scale,,,,,,,0.75,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,0,Male,49,40 to 59,0.33,1,6 point scale,0.8,1,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.75,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Argentina1998,Argentina,1998,PELA,PELA2,Random,1,Political,Legislative,Parties,1,1,Female,53,40 to 59,0.83,1,6 point scale,0.1,0,1,10 point scale,,,,,,,,,,0.75,4,4 point scale,0.75,4,4 point scale,0.5,4,4 point scale,,,,,,,0.5,4,4 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
